source,statistic,df,p.value
month,15.887537231206325,3,0.0011958028345754402
salinity_regime,1.3204215811947442,1,0.25051640406534864
month,37.846600959034674,3,3.0459303802220294e-8
salinity_regime,0.4019597639528792,1,0.5260788848887469
month,6.25895564192819,3,0.0996691273662316
salinity_regime,13.249112946150293,1,2.7270888903151234e-4
