source,statistic,df,p.value
month,18.097899263173378,3,4.1986602832613904e-4
salinity_regime,2.5636367722568196,1,0.10934678072288934
month:salinity_regime,9.841992295017068,3,0.01995813168043892
month,17.28868757374171,3,6.164017146650476e-4
salinity_regime,0.7150893613366924,1,0.3977594270402321
month:salinity_regime,3.459912061592153,3,0.3259987317295793
