source,statistic,df,p.value
treatment,1.7359145712274149,1,0.18765731122936044
region,2.361775343870331,1,0.1243406115339963
treatment:region,1.2208506234828774e-06,1,0.99911840069775
treatment,0.6632272912592757,1,0.4154228949187435
region,18.66918449306934,1,1.554749845816024e-5
treatment:region,17.55419197237957,1,2.7923450803684204e-5
treatment,0.4335256086375087,1,0.51026403731174
region,0.21085881087338615,1,0.6460951080748972
treatment:region,0.10203062016638463,1,0.74940628575542
